employer,normalized,city,county,state,noticeDate,effectiveDate,employees,layoffType,sourceUrl
Christmas Tree Shops  -  Location  7,CHRISTMAS TREE SHOPS - LOCATION 7,Square Mays Landing,,NJ,,2023-07-07,20,,https://www.nj.gov/labor/employer-services/warn/
Christmas Tree Shops  -  Location  8,CHRISTMAS TREE SHOPS - LOCATION 8,Paramus,,NJ,,2023-07-07,48,,https://www.nj.gov/labor/employer-services/warn/
Christmas Tree Shops  -  Location  10,CHRISTMAS TREE SHOPS - LOCATION 10,Woodland,,NJ,,2023-07-07,58,,https://www.nj.gov/labor/employer-services/warn/
S&B Industry Inc.,S B INDUSTRY,Fort Worth,Tarrant,TX,2023-07-05,2023-07-21,115,,https://data.texas.gov/d/8w53-c4f6
"Dawn Food Products, Inc.",DAWN FOOD PRODUCTS,Seattle,,WA,2023-07-05,2023-09-01,55,Permanent,https://esd.wa.gov/about-employees/WARN
Kiss Distribution Corp,KISS DISTRIBUTION,Piscataway,,NJ,,2023-06-30,52,,https://www.nj.gov/labor/employer-services/warn/
BioReference Health LLC,BIOREFERENCE HEALTH,Elmwood park,,NJ,,2023-06-30,71,,https://www.nj.gov/labor/employer-services/warn/
Compass Group USA Inc,COMPASS GROUP,McLean VA,,VA,2023-06-30,,220,Layoff,https://www.vec.virginia.gov/warn-notices
AAC Holding Corporation,AAC HOLDING,Dallas,Dallas,TX,2023-06-29,2023-08-16,188,,https://data.texas.gov/d/8w53-c4f6
Management Training Corporation (Sanders Estes Unit),MANAGEMENT TRAINING (SANDERS ESTES UNIT),Venus,Johnson,TX,2023-06-29,2023-08-31,120,,https://data.texas.gov/d/8w53-c4f6
"Aramark Campus, LLC at New Braunfels ISD",ARAMARK CAMPUS AT NEW BRAUNFELS ISD,New Braunfels,Comal,TX,2023-06-29,2023-06-30,59,,https://data.texas.gov/d/8w53-c4f6
"Aramark Campus, LLC",ARAMARK CAMPUS,Bellingham,,WA,2023-06-28,2023-08-31,386,Permanent,https://esd.wa.gov/about-employees/WARN
"Packers Sanitation Services, Inc. (PSSI) Center, Texas",PACKERS SANITATION (PSSI) CENTER TEXAS,Center,Shelby,TX,2023-06-27,2023-06-09,93,,https://data.texas.gov/d/8w53-c4f6
Management & Training Corporation (Cleveland TX),MANAGEMENT TRAINING (CLEVELAND TX),Cleveland,Liberty,TX,2023-06-27,2023-08-31,107,,https://data.texas.gov/d/8w53-c4f6
"Federal Heath Sign Company, LLC",FEDERAL HEATH SIGN,Euless,Tarrant,TX,2023-06-27,2023-09-01,47,,https://data.texas.gov/d/8w53-c4f6
Management & Training Corporation (MTC) - Diboll,MANAGEMENT TRAINING (MTC) - DIBOLL,Diboll,Angelina,TX,2023-06-27,2023-08-31,101,,https://data.texas.gov/d/8w53-c4f6
Homebridge,HOMEBRIDGE,South Iselin,,NJ,,2023-06-26,139,,https://www.nj.gov/labor/employer-services/warn/
Bed Bath & Beyond | Buy Buy Baby Inc | BBB Value Services,BED BATH BEYOND | BUY BUY BABY | BBB VALUE,Union,,NJ,,2023-06-26,1293,,https://www.nj.gov/labor/employer-services/warn/
Cognizant Technology Solutions,COGNIZANT,Austin,Travis,TX,2023-06-23,2023-08-20,56,,https://data.texas.gov/d/8w53-c4f6
VIRTEX PPI/Time Zero Inc.  (Waynesboro VA Plant),VIRTEX PPI/TIME ZERO (WAYNESBORO VA PLANT),Waynesboro VA,,VA,2023-06-21,,76,Closure,https://www.vec.virginia.gov/warn-notices
Marine Hydraulics International LLC (MHI),MARINE HYDRAULICS INTERNATIONAL (MHI),Norfolk VA,,VA,2023-06-19,,139,Layoff,https://www.vec.virginia.gov/warn-notices
Thermo Fisher Scientific,THERMO FISHER SCIENTIFIC,Princton,,NJ,,2023-06-16,113,,https://www.nj.gov/labor/employer-services/warn/
The Yankee Candle Company Inc.,THE YANKEE CANDLE,Blairs VA,,VA,2023-06-16,,58,Closure,https://www.vec.virginia.gov/warn-notices
INMET Mining,INMET MINING,Appalachia & St. Charles VA,,VA,2023-06-16,,258,Closure,https://www.vec.virginia.gov/warn-notices
Accenture Austin),ACCENTURE AUSTIN),Austin,Williamson,TX,2023-06-15,2023-08-14,218,,https://data.texas.gov/d/8w53-c4f6
"Neilsen and Bainbridge, LLC",NEILSEN AND BAINBRIDGE,Austin,Williamson,TX,2023-06-15,2023-05-23,116,,https://data.texas.gov/d/8w53-c4f6
Southeast Service Corporation (Bastrop Independent School District),SOUTHEAST SERVICE (BASTROP INDEPENDENT SCHOOL DISTRICT),Bastrop,Bastrop,TX,2023-06-15,2023-08-05,91,,https://data.texas.gov/d/8w53-c4f6
