employer,normalized,city,county,state,noticeDate,effectiveDate,employees,layoffType,sourceUrl
UBS,UBS,Weehawken,,NJ,,2026-11-04,58,,https://www.nj.gov/labor/employer-services/warn/
BASF Corporation,BASF,Florham Park,,NJ,,2026-11-01,62,,https://www.nj.gov/labor/employer-services/warn/
"Mars WrigleyConfectionary US, LLC",MARS WRIGLEYCONFECTIONARY,Newark,,NJ,,2026-10-16,307,,https://www.nj.gov/labor/employer-services/warn/
Verizon Corp Resources Group LLC,VERIZON RESOURCES GROUP,Basking Ridge,,NJ,,2026-10-16,282,,https://www.nj.gov/labor/employer-services/warn/
The Cannabist Company,THE CANNABIST,Vineland,,NJ,,2026-10-11,86,,https://www.nj.gov/labor/employer-services/warn/
Petvet Care Centers LLC,PETVET CARE CENTERS,Egg Harbor Twp,,NJ,,2026-10-08,18,,https://www.nj.gov/labor/employer-services/warn/
Novartis Pharmaceuticals Corporation,NOVARTIS PHARMACEUTICALS,East Hanover,,NJ,,2026-10-02,322,,https://www.nj.gov/labor/employer-services/warn/
"Samsung SDS America, Inc",SAMSUNG SDS AMERICA,Ridgefield Park,,NJ,,2026-10-01,179,,https://www.nj.gov/labor/employer-services/warn/
"Headquarters Hotel Mgmt, LLC d/b/a Sheraton Atlantic City Convention Center Hotel",HEADQUARTERS HOTEL MGMT D/B/A SHERATON ATLANTIC CITY CONVENTION CENTER HOTEL,Atlantic City,,NJ,,2026-10-01,99,,https://www.nj.gov/labor/employer-services/warn/
Fusion Transport LLC,FUSION TRANSPORT,Piscataway,,NJ,,2026-10-01,79,,https://www.nj.gov/labor/employer-services/warn/
"Samsung Electronics America, Inc.",SAMSUNG ELECTRONICS AMERICA,Englewood Cliffs,,NJ,,2026-09-30,739,,https://www.nj.gov/labor/employer-services/warn/
"Automatic Data Processing, Inc.",AUTOMATIC DATA PROCESSING,Roseland,,NJ,,2026-09-25,76,,https://www.nj.gov/labor/employer-services/warn/
"International Paper, Barrington Box Plant",INTERNATIONAL PAPER BARRINGTON BOX PLANT,Barrington,,NJ,,2026-09-24,126,,https://www.nj.gov/labor/employer-services/warn/
Verizon Corp Resources Group LLC,VERIZON RESOURCES GROUP,Basking Ridge,,NJ,,2026-09-18,35,,https://www.nj.gov/labor/employer-services/warn/
Prudential Insurance Company of America,PRUDENTIAL INSURANCE OF AMERICA,Newark,,NJ,,2026-09-18,89,,https://www.nj.gov/labor/employer-services/warn/
Digital Room LLC,DIGITAL ROOM,Saddle Brook,,NJ,,2026-09-16,69,,https://www.nj.gov/labor/employer-services/warn/
AT&T,AT T,Cumberland County,,NJ,,2026-09-15,138,,https://www.nj.gov/labor/employer-services/warn/
Merck & Co,MERCK,Rahway,,NJ,,2026-09-04,88,,https://www.nj.gov/labor/employer-services/warn/
Optum Select Management Inc.,OPTUM SELECT MANAGEMENT,Somerset,,NJ,,2026-08-26,17,,https://www.nj.gov/labor/employer-services/warn/
Optum Care Inc.,OPTUM CARE,Rutherford,,NJ,,2026-08-26,5,,https://www.nj.gov/labor/employer-services/warn/
Optum Services Inc.,OPTUM,Basking Ridge,,NJ,,2026-08-26,36,,https://www.nj.gov/labor/employer-services/warn/
UBS,UBS,Weehawken,,NJ,,2026-08-26,65,,https://www.nj.gov/labor/employer-services/warn/
Novartis Group,NOVARTIS GROUP,East Hanover,,NJ,,2026-08-21,76,,https://www.nj.gov/labor/employer-services/warn/
Johnson & Johnson,JOHNSON JOHNSON,New Brunswick,,NJ,,2026-08-21,86,,https://www.nj.gov/labor/employer-services/warn/
Meta,META,Statewide,,NJ,,2026-08-20,74,,https://www.nj.gov/labor/employer-services/warn/
Acme Markets Inc.,ACME MARKETS,Edgewater,,NJ,,2026-08-15,115,,https://www.nj.gov/labor/employer-services/warn/
Embassy Suites by Hilton,EMBASSY SUITES BY HILTON,Parsippany,,NJ,,2026-08-14,54,,https://www.nj.gov/labor/employer-services/warn/
Barclays,BARCLAYS,Whippany,,NJ,,2026-08-10,64,,https://www.nj.gov/labor/employer-services/warn/
Verizon,VERIZON,Basking Ridge,,NJ,,2026-08-07,121,,https://www.nj.gov/labor/employer-services/warn/
Amicus Therapeutics,AMICUS THERAPEUTICS,Princeton,,NJ,,2026-08-07,58,,https://www.nj.gov/labor/employer-services/warn/
Verizon Corp Resources Group LLC,VERIZON RESOURCES GROUP,Basking Ridge,,NJ,,2026-08-07,156,,https://www.nj.gov/labor/employer-services/warn/
Danone North America,DANONE NORTH AMERICA,Bridgeton,,NJ,,2026-08-04,114,,https://www.nj.gov/labor/employer-services/warn/
Federal Express Corporation,FEDERAL EXPRESS,Union,,NJ,,2026-08-03,50,,https://www.nj.gov/labor/employer-services/warn/
Accupac,ACCUPAC,Lakewood,,NJ,,2026-08-03,260,,https://www.nj.gov/labor/employer-services/warn/
JP Morgan Chase,JP MORGAN CHASE,Jersey City,,NJ,,2026-08-03,51,,https://www.nj.gov/labor/employer-services/warn/
DoubleTree by Hilton,DOUBLETREE BY HILTON,Somerset,,NJ,,2026-08-01,90,,https://www.nj.gov/labor/employer-services/warn/
Fulton Bank,FULTON BANK,Parsippany,,NJ,,2026-07-31,95,,https://www.nj.gov/labor/employer-services/warn/
"FreshRealm, Inc.",FRESHREALM,Linden,,NJ,,2026-07-27,628,,https://www.nj.gov/labor/employer-services/warn/
Novartis,NOVARTIS,East Hanover,,NJ,,2026-07-24,60,,https://www.nj.gov/labor/employer-services/warn/
"CraftForce Services, Inc. (2330 Circadian Way)",CRAFTFORCE (2330 CIRCADIAN WAY),Santa Rosa,Sonoma,CA,2026-07-22,2026-09-20,51,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
"CraftForce Services, Inc. (2753 Giffen Avenue)",CRAFTFORCE (2753 GIFFEN AVENUE),Santa Rosa,Sonoma,CA,2026-07-22,2026-09-20,7,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
No Meat Factory USA Inc,NO MEAT FACTORY,Stanwood,,WA,2026-07-22,2026-09-16,123,Permanent,https://esd.wa.gov/about-employees/WARN
"New Leaf Community Markets, Inc.",NEW LEAF COMMUNITY MARKETS,San Jose,Santa Clara,CA,2026-07-21,2026-09-20,61,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
Pixar,PIXAR,Emeryville,Alameda,CA,2026-07-21,2026-09-26,108,Layoff Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
"DesigneRX Pharmaceuticals, Inc.",DESIGNERX PHARMACEUTICALS,Vacaville,Solano,CA,2026-07-20,2026-09-21,25,Layoff Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
"NBCUniversal Media, LLC - 1320",NBCUNIVERSAL MEDIA - 1320,Universal City,Los Angeles,CA,2026-07-17,2026-08-28,3,Layoff Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
"NBCUniversal Media, LLC - 1360",NBCUNIVERSAL MEDIA - 1360,Universal City,Los Angeles,CA,2026-07-17,2026-08-28,5,Layoff Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
"NBCUniversal Media, LLC -1440",NBCUNIVERSAL MEDIA -1440,Universal City,Los Angeles,CA,2026-07-17,2026-08-28,87,Layoff Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
"NBCUniversal Media, LLC - 1460",NBCUNIVERSAL MEDIA - 1460,Universal City,Los Angeles,CA,2026-07-17,2026-08-28,55,Layoff Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
"Monterey Mushrooms, LLC",MONTEREY MUSHROOMS,Morgan Hill,Santa Clara,CA,2026-07-17,2026-09-20,253,Layoff Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
"Magic Leap, Inc.",MAGIC LEAP,Sunnyvale,Santa Clara,CA,2026-07-17,2026-10-01,76,Layoff Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
"Alan Ritchey, Inc.",ALAN RITCHEY,Phillipsburg,,NJ,,2026-07-17,176,,https://www.nj.gov/labor/employer-services/warn/
Prudential Insurance Company of America,PRUDENTIAL INSURANCE OF AMERICA,Newark,,NJ,,2026-07-17,53,,https://www.nj.gov/labor/employer-services/warn/
Phillips 66,PHILLIPS 66,Wilmington,Los Angeles,CA,2026-07-16,2026-09-16,5,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
"Aramark Campus, LLC",ARAMARK CAMPUS,Redlands,San Bernardino,CA,2026-07-16,2026-07-31,94,Layoff Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
Bristol Myers Squibb,BRISTOL MYERS SQUIBB,Lawrence Twp,,NJ,,2026-07-16,206,,https://www.nj.gov/labor/employer-services/warn/
Verizon,VERIZON,Various locations in Washington,,WA,2026-07-16,2026-09-18,54,Permanent,https://esd.wa.gov/about-employees/WARN
"Eargo, Inc.",EARGO,San Jose,Santa Clara,CA,2026-07-15,2026-09-14,57,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
Ventura Coastal,VENTURA COASTAL,Tipton,Tulare,CA,2026-07-15,2026-09-18,71,Layoff Temporary,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
"GMRI, Inc. dba Yard House",GMRI DBA YARD HOUSE,Costa Mesa,Orange,CA,2026-07-14,2026-09-14,78,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
"Udemy, Inc.",UDEMY,San Francisco,San Francisco,CA,2026-07-14,2026-09-11,28,Layoff Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
"Coursera, Inc.",COURSERA,Mountain View,Santa Clara,CA,2026-07-14,2026-09-11,31,Layoff Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
"ELC Beauty LLC (Too Faced Cosmetics, LLC)",ELC BEAUTY (TOO FACED COSMETICS ),Irvine,Orange,CA,2026-07-14,2026-09-30,67,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
Red Lobster Restaurants LLC,RED LOBSTER RESTAURANTS,Santa Maria,Santa Barbara,CA,2026-07-14,2026-08-31,37,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
Wind & Sea Restaurant,WIND SEA RESTAURANT,Dana Point,Orange,CA,2026-07-14,2026-09-15,198,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
Queen City Staffing,QUEEN CITY STAFFING,Santa Rosa,Sonoma,CA,2026-07-14,2026-09-13,49,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
"AWCS, LLC (Cottonwood Post-Acute Rehab",AWCS (COTTONWOOD POST-ACUTE REHAB,Woodland,Yolo,CA,2026-07-13,2026-09-11,158,Closure Temporary,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
6th Street Center for Youth (Youth for Change),6TH STREET CENTER FOR YOUTH (YOUTH FOR CHANGE),Chico,Butte,CA,2026-07-10,2026-08-31,6,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
"GXO Logistics Worldwide, LLC",GXO LOGISTICS WORLDWIDE,San Bernardino,San Bernardino,CA,2026-07-10,2026-09-18,46,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
Xpress Delivery LLC (DSJ9),XPRESS DELIVERY (DSJ9),Oakland,Alameda,CA,2026-07-09,2026-09-09,80,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
OnPoint Logistics LLC,ONPOINT LOGISTICS,San Francisco,San Francisco,CA,2026-07-09,2026-09-07,96,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
Emerson,EMERSON,Charlottesville  VA,,VA,2026-07-09,,139,Closure,https://www.vec.virginia.gov/warn-notices
Sentinel Restaurant & Hospitality Group LLC,SENTINEL RESTAURANT HOSPITALITY GROUP,Laguna Beach,Orange,CA,2026-07-08,2026-09-08,113,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
JP Morgan Chase,JP MORGAN CHASE,Jersey City,,NJ,,2026-07-08,173,,https://www.nj.gov/labor/employer-services/warn/
Medical Faculty Associates Inc. (MFA),MEDICAL FACULTY ASSOCIATES (MFA),"Alexandria, Arlington, Ashburn &amp; Reston VA",,VA,2026-07-08,,2,Layoff,https://www.vec.virginia.gov/warn-notices
"Expeditors International of Washington, Inc.",EXPEDITORS INTERNATIONAL OF WASHINGTON,Various locations in Washington,,WA,2026-07-08,2026-08-07,3,Permanent,https://esd.wa.gov/about-employees/WARN
LeeMAH Electronics,LEEMAH ELECTRONICS,Brisbane,San Mateo,CA,2026-07-07,2026-09-08,212,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
The Vons Companies Inc.,THE VONS COMPANIES,Pasadena,Los Angeles,CA,2026-07-07,2026-09-05,55,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
Obsidian,OBSIDIAN,Irvine,Orange,CA,2026-07-06,2026-09-04,52,Layoff Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
GEODIS,GEODIS,Redlands,San Bernardino,CA,2026-07-06,2026-09-03,81,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
Microsoft,MICROSOFT,Redmond,,WA,2026-07-06,2026-09-04,605,Permanent,https://esd.wa.gov/about-employees/WARN
Winfit LLC,WINFIT,Mercer County,,NJ,,2026-07-05,5,,https://www.nj.gov/labor/employer-services/warn/
Labcorp Raritan,LABCORP RARITAN,Raritan,,NJ,,2026-07-03,83,,https://www.nj.gov/labor/employer-services/warn/
Blue Diamond Growers,BLUE DIAMOND GROWERS,Sacramento,Sacramento,CA,2026-07-02,2026-09-04,31,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
"Kingdom Animalia, LLC (Hourglass Cosmetics)",KINGDOM ANIMALIA (HOURGLASS COSMETICS),Carson,Los Angeles,CA,2026-07-02,2026-09-15,7,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
DHL Supply Chain,DHL SUPPLY CHAIN,Fullerton,Orange,CA,2026-07-02,2026-09-03,33,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
Notions Marketing,NOTIONS MARKETING,Gloucester,,NJ,,2026-07-02,179,,https://www.nj.gov/labor/employer-services/warn/
"INDUS Technology, Inc.",INDUS,"Keyport, Silverdale",,WA,2026-07-02,2026-09-14,120,Permanent,https://esd.wa.gov/about-employees/WARN
Amazon,AMAZON,"Seattle, Bellevue",,WA,2026-07-02,2026-08-03,57,Permanent,https://esd.wa.gov/about-employees/WARN
Chevron,CHEVRON,San Ramon,Contra Costa,CA,2026-07-01,2026-09-01,180,Layoff Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
T&amp;H Services LLC,T AMP;H,Blackstone VA,,VA,2026-07-01,,76,Closure,https://www.vec.virginia.gov/warn-notices
"Alpha Technologies Services, Inc.",ALPHA,Bellingham,,WA,2026-07-01,2026-08-31,75,Permanent,https://esd.wa.gov/about-employees/WARN
McDonald's Corporation,MCDONALD'S,City of Industry,Los Angeles,CA,2026-06-30,2026-09-01,2,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
Athwal FDS Corporation,ATHWAL FDS,San Bernardino,San Bernardino,CA,2026-06-30,2026-08-30,35,Layoff Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
Conduent Commercial Solutions LLC,CONDUENT COMMERCIAL,VA-Statewide VA,,VA,2026-06-29,,24,Layoff,https://www.vec.virginia.gov/warn-notices
Times Fiber Communications (TFC),TIMES FIBER COMMUNICATIONS (TFC),Pittsylvania County VA,,VA,2026-06-29,,78,Closure,https://www.vec.virginia.gov/warn-notices
"Conduent Commercial Solutions, LLC",CONDUENT COMMERCIAL,Remote in Washington,,WA,2026-06-29,2026-08-28,4,Permanent,https://esd.wa.gov/about-employees/WARN
PetVet Care Centers,PETVET CARE CENTERS,Vancouver,,WA,2026-06-29,2026-09-04,50,Permanent,https://esd.wa.gov/about-employees/WARN
"Citibank, N.A.",CITIBANK N A,Hudson and Bergen Counties,,NJ,,2026-06-28,68,,https://www.nj.gov/labor/employer-services/warn/
"Genentech, Inc.",GENENTECH,South San Francisco,San Mateo,CA,2026-06-26,2026-07-29,103,Layoff Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
Conduent,CONDUENT,Cypress,Orange,CA,2026-06-26,2026-08-28,51,Layoff Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
Novartis,NOVARTIS,East Hanover,,NJ,,2026-06-26,114,,https://www.nj.gov/labor/employer-services/warn/
"Flagship Facilities Services, LLC",FLAGSHIP FACILITIES,Seattle,,WA,2026-06-26,2026-07-19,4,Permanent,https://esd.wa.gov/about-employees/WARN
"Transdev Services, Inc",TRANSDEV,Everett,,WA,2026-06-26,2026-08-29,108,Permanent,https://esd.wa.gov/about-employees/WARN
"Bungie, Inc/Sony Interactive Entertainment",BUNGIE /SONY INTERACTIVE ENTERTAINMENT,Bellevue,,WA,2026-06-25,2026-07-09,292,Permanent,https://esd.wa.gov/about-employees/WARN
JPMorgan Chase & Co.,JPMORGAN CHASE,Plano,Collin,TX,2026-06-23,2026-08-21,244,,https://data.texas.gov/d/8w53-c4f6
UBS,UBS,Weehawken,,NJ,,2026-06-22,103,,https://www.nj.gov/labor/employer-services/warn/
JP Morgan Chase,JP MORGAN CHASE,Jersey City,,NJ,,2026-06-20,134,,https://www.nj.gov/labor/employer-services/warn/
Luna Foods dba Joey's Fine Foods,LUNA FOODS DBA JOEY'S FINE FOODS,Newark,,NJ,,2026-06-19,61,,https://www.nj.gov/labor/employer-services/warn/
"First Student, Inc.",FIRST STUDENT,Seattle,,WA,2026-06-17,2026-08-17,111,Permanent,https://esd.wa.gov/about-employees/WARN
KUEHNE + NAGEL (KN) 2026,KUEHNE + NAGEL (KN) 2026,Lewisville,Denton,TX,2026-06-16,2026-06-29,90,,https://data.texas.gov/d/8w53-c4f6
Vestis Services LLC,VESTIS,Statewide VA,,VA,2026-06-15,,19,Layoff,https://www.vec.virginia.gov/warn-notices
"Fortrex (John Soules Foods, Inc.)",FORTREX (JOHN SOULES FOODS ),Tyler,Smith,TX,2026-06-12,2026-06-26,85,,https://data.texas.gov/d/8w53-c4f6
First Student (DeSoto I.S.D.),FIRST STUDENT (DESOTO I S D ),De Soto,Dallas,TX,2026-06-12,2026-06-30,74,,https://data.texas.gov/d/8w53-c4f6
SAKS GLOBAL (Neiman Marcus),SAKS GLOBAL (NEIMAN MARCUS),Dallas,Dallas,TX,2026-06-12,2026-09-30,67,,https://data.texas.gov/d/8w53-c4f6
"Remington Lodging and Hospitality, LLC (Hilton Houston NASA Clear Lake)",REMINGTON LODGING AND HOSPITALITY (HILTON HOUSTON NASA CLEAR LAKE),Houston,Harris,TX,2026-06-09,2026-07-31,65,,https://data.texas.gov/d/8w53-c4f6
General Dynamics Information Technology,GENERAL DYNAMICS INFORMATION,"Washington, DC DC",,VA,2026-06-09,,174,Layoff,https://www.vec.virginia.gov/warn-notices
Alan Ritchey Incorporated,ALAN RITCHEY,Irving,Dallas,TX,2026-06-08,2026-09-14,232,,https://data.texas.gov/d/8w53-c4f6
El Paso Independent School District,EL PASO INDEPENDENT SCHOOL DISTRICT,El Paso,El Paso,TX,2026-06-08,2026-06-19,250,,https://data.texas.gov/d/8w53-c4f6
"Expeditors International of Washington, Inc.",EXPEDITORS INTERNATIONAL OF WASHINGTON,Various locations in Washington,,WA,2026-06-08,2026-08-08,230,Permanent,https://esd.wa.gov/about-employees/WARN
"Lavish Roots, Inc.",LAVISH ROOTS,"Seattle, Bellevue, Redmond",,WA,2026-06-08,2026-08-09,263,Permanent,https://esd.wa.gov/about-employees/WARN
Parkhurst Dining LLC (Randolph Macon College Site),PARKHURST DINING (RANDOLPH MACON COLLEGE SITE),Ashland VA,,VA,2026-06-05,,80,Closure,https://www.vec.virginia.gov/warn-notices
MW Components (Matthew Warren Inc's USA Fastner Facility),MW COMPONENTS (MATTHEW WARREN 'S FASTNER FACILITY),Houston,Harris,TX,2026-06-04,2026-08-10,53,,https://data.texas.gov/d/8w53-c4f6
SMBC Manubank,SMBC MANUBANK,Statewide VA,,VA,2026-06-04,,6,Closure,https://www.vec.virginia.gov/warn-notices
SMBC Manubank,SMBC MANUBANK,Remote in Washington,,WA,2026-06-04,2026-08-03,3,Permanent,https://esd.wa.gov/about-employees/WARN
M1 Support Services LP,M1 SUPPORT,Norfolk  VA,,VA,2026-06-01,,168,Closure,https://www.vec.virginia.gov/warn-notices
General Dynamics Information Technology,GENERAL DYNAMICS INFORMATION,Arlington VA,,VA,2026-06-01,,102,Layoff,https://www.vec.virginia.gov/warn-notices
General Dynamics Information Technology,GENERAL DYNAMICS INFORMATION,Falls Church VA,,VA,2026-06-01,,133,Layoff,https://www.vec.virginia.gov/warn-notices
MarketSource,MARKETSOURCE,Jersey City,,NJ,,2026-05-30,57,,https://www.nj.gov/labor/employer-services/warn/
Toshiba International Corporation,TOSHIBA INTERNATIONAL,Houston,Harris,TX,2026-05-29,2026-09-30,67,,https://data.texas.gov/d/8w53-c4f6
Maverick Washington LLC Silver Dollar Mill Creek Casino,MAVERICK WASHINGTON SILVER DOLLAR MILL CREEK CASINO,Bothell,,WA,2026-05-29,2026-07-31,41,Permanent,https://esd.wa.gov/about-employees/WARN
Maverick Washington LLC Crazy Moose Mountlake Casino,MAVERICK WASHINGTON CRAZY MOOSE MOUNTLAKE CASINO,Mountlake Terrace,,WA,2026-05-29,2026-07-31,82,Permanent,https://esd.wa.gov/about-employees/WARN
IPIC Theaters,IPIC THEATERS,Fort Lee,,NJ,,2026-05-28,97,,https://www.nj.gov/labor/employer-services/warn/
"Servatron, Inc.",SERVATRON,Spokane Valley,,WA,2026-05-26,2026-12-31,124,Permanent,https://esd.wa.gov/about-employees/WARN
Imperia Foods,IMPERIA FOODS,Fairfield,,NJ,,2026-05-22,82,,https://www.nj.gov/labor/employer-services/warn/
80 Acres Farms,80 ACRES FARMS,Harrisonburg VA,,VA,2026-05-22,,80,Closure,https://www.vec.virginia.gov/warn-notices
"Meta Platforms, Inc",META PLATFORMS,King County,,WA,2026-05-22,2026-07-22,1395,Permanent,https://esd.wa.gov/about-employees/WARN
Bristol Myers Squibb,BRISTOL MYERS SQUIBB,Lawrence Twp,,NJ,,2026-05-21,247,,https://www.nj.gov/labor/employer-services/warn/
Citibank,CITIBANK,Statewide,,NJ,,2026-05-21,141,,https://www.nj.gov/labor/employer-services/warn/
Bingham &amp; Taylor,BINGHAM AMP; TAYLOR,Culpeper VA,,VA,2026-05-21,,92,Closure,https://www.vec.virginia.gov/warn-notices
"Republic National Distributing Company, LLC",REPUBLIC NATIONAL DISTRIBUTING,4 sites,,WA,2026-05-21,2026-07-17,267,Permanent,https://esd.wa.gov/about-employees/WARN
"Genie Industries, Inc. / Terex USA, LLC",GENIE INDUSTRIES / TEREX,North Bend,,WA,2026-05-21,2026-07-20,117,Permanent,https://esd.wa.gov/about-employees/WARN
"Flagship Facilities Services, LLC",FLAGSHIP FACILITIES,Seattle,,WA,2026-05-20,2026-07-19,67,Permanent,https://esd.wa.gov/about-employees/WARN
"Auzmet Architectural, LLC",AUZMET ARCHITECTURAL,Dallas,Dallas,TX,2026-05-19,2026-05-19,152,,https://data.texas.gov/d/8w53-c4f6
AT&T,AT T,Bedminster,,NJ,,2026-05-19,75,,https://www.nj.gov/labor/employer-services/warn/
Parkhurst Dining LLC,PARKHURST DINING,Bridgewater VA,,VA,2026-05-18,,65,Closure,https://www.vec.virginia.gov/warn-notices
Target,TARGET,"Burlington, Gloucester, Middlesex, Monmouth",,NJ,,2026-05-17,107,,https://www.nj.gov/labor/employer-services/warn/
Starbucks,STARBUCKS,Seattle,,WA,2026-05-15,2026-07-17,252,Permanent,https://esd.wa.gov/about-employees/WARN
"Compass Group USA, Inc. (d/b/a Chartwell's Higher Education (Texas Southern Univ.)",COMPASS GROUP (D/B/A CHARTWELL'S HIGHER EDUCATION (TEXAS SOUTHERN UNIV ),Houston,Harris,TX,2026-05-14,2026-06-12,88,,https://data.texas.gov/d/8w53-c4f6
Scudetto Logistics,SCUDETTO LOGISTICS,Trenton,,NJ,,2026-05-14,120,,https://www.nj.gov/labor/employer-services/warn/
Coburg Facility,COBURG FACILITY,Coburg,,OR,2026-05-13,2026-07-17,83,Permanent closure,https://data.oregon.gov/d/ijbz-jpx8
Diamond Transportation Services Inc.,DIAMOND TRANSPORTATION,Fairfax County VA,,VA,2026-05-12,,144,Closure,https://www.vec.virginia.gov/warn-notices
Saks & Company,SAKS,East Rutherford,,NJ,,2026-05-11,58,,https://www.nj.gov/labor/employer-services/warn/
Hilex Poly Co. LLC,HILEX POLY,Henrico VA,,VA,2026-05-11,,117,Closure,https://www.vec.virginia.gov/warn-notices
Starbucks,STARBUCKS,Seattle,,WA,2026-05-08,2026-06-20,61,Permanent,https://esd.wa.gov/about-employees/WARN
Prudential,PRUDENTIAL,Newark,,NJ,,2026-05-07,54,,https://www.nj.gov/labor/employer-services/warn/
Novanta Corporation,NOVANTA,Mukilteo,,WA,2026-05-07,2026-07-07,83,Permanent,https://esd.wa.gov/about-employees/WARN
Saks & Company,SAKS,Statewide,,NJ,,2026-05-04,69,,https://www.nj.gov/labor/employer-services/warn/
AT&T,AT T,Bedminster,,NJ,,2026-05-04,87,,https://www.nj.gov/labor/employer-services/warn/
LumLiq2 LLC d/b/a Lumber Liquidators,LUMLIQ2 D/B/A LUMBER LIQUIDATORS,Henrico VA,,VA,2026-05-04,,64,Closure,https://www.vec.virginia.gov/warn-notices
JP Morgan Chase,JP MORGAN CHASE,Jersey City,,NJ,,2026-05-03,120,,https://www.nj.gov/labor/employer-services/warn/
Spirit Airlines (DFW) May 2026,SPIRIT AIRLINES (DFW) MAY 2026,Dallas,Dallas,TX,2026-05-02,2026-05-02,444,,https://data.texas.gov/d/8w53-c4f6
Spirit Airlines (IAH) May 2026,SPIRIT AIRLINES (IAH) MAY 2026,Houston,Harris,TX,2026-05-02,2026-05-02,515,,https://data.texas.gov/d/8w53-c4f6
Spirit Airlines,SPIRIT AIRLINES,Newark,,NJ,,2026-05-02,201,,https://www.nj.gov/labor/employer-services/warn/
"Amcor Rigid Packaging USA, LLC",AMCOR RIGID PACKAGING,Fort Worth,Tarrant,TX,2026-05-01,2026-07-02,56,,https://data.texas.gov/d/8w53-c4f6
Walmart,WALMART,Hoboken,,NJ,,2026-05-01,100,,https://www.nj.gov/labor/employer-services/warn/
Integra Life Sciences,INTEGRA LIFE SCIENCES,Princeton,,NJ,,2026-05-01,65,,https://www.nj.gov/labor/employer-services/warn/
Arrow Fastener,ARROW FASTENER,Saddle Brook,,NJ,,2026-05-01,140,,https://www.nj.gov/labor/employer-services/warn/
Ideal US Talent Worker OpCo LLC,IDEAL TALENT WORKER OPCO,Statewide VA,,VA,2026-05-01,,776,Layoff,https://www.vec.virginia.gov/warn-notices
KBR Wyle Services LLC,KBR WYLE,Accomack VA,,VA,2026-05-01,,118,Layoff,https://www.vec.virginia.gov/warn-notices
Maersk,MAERSK,Lakewood,,WA,2026-05-01,2026-06-30,44,Permanent,https://esd.wa.gov/about-employees/WARN
Maersk,MAERSK,Sumner,,WA,2026-05-01,2026-06-30,5,Permanent,https://esd.wa.gov/about-employees/WARN
